file_size	file_name	download_status
1114.73	043) Environment Class 15 - 130823.mp4	NOT_UPLOADED
1044.31	042) Environment Class 14 - 110823.mp4	NOT_UPLOADED
1146.18	041) Environment Class 13 - 090823.mp4	NOT_UPLOADED
1130.07	040) Environment Class 12 - 080823.mp4	NOT_UPLOADED
1044.12	039) Environment Class 11 - 070823.mp4	NOT_UPLOADED
1033.23	038) Environment Class 10 - 060823.mp4	NOT_UPLOADED
1182.84	037) Environment Class 09 - 120723.mp4	NOT_UPLOADED
1179.22	036) Environment Class 08 - 110723.mp4	NOT_UPLOADED
1159.13	035) Environment Class 07 - 100723.mp4	NOT_UPLOADED
1217.22	034) Environment Class 06 - 090723.mp4	NOT_UPLOADED
1039.13	033) Environment Class 05 - 080723.mp4	NOT_UPLOADED
1197.34	032) Environment Class 04 - 120523.mp4	NOT_UPLOADED
1128.99	031) Environment Class 03 - 110523.mp4	NOT_UPLOADED
1048.02	030) Environment Class 02 - 100523.mp4	NOT_UPLOADED
1107.24	029) Environment Class 01 - 090523.mp4	NOT_UPLOADED
1049.21	028) Disaster Management Class 04 - 030224.mp4	NOT_UPLOADED
995.53	027) Disaster Management Class 03 - 020224.mp4	NOT_UPLOADED
951.66	026) Disaster Management Class 02 - 010224.mp4	NOT_UPLOADED
912.32	025) Disaster Management Class 01 - 310124.mp4	NOT_UPLOADED
1111.02	024) Biology Class 07 - 270923.mp4	NOT_UPLOADED
1014.74	023) Biology Class 06 - 250923.mp4	NOT_UPLOADED
1015.22	022) Biology Class 05 - 220923.mp4	NOT_UPLOADED
1058.87	021) Biology Class 04 - 210923.mp4	NOT_UPLOADED
1078.56	020) Biology Class 03 - 190623.mp4	NOT_UPLOADED
